Volume (micron^3),Surface (micron^2),Nb of obj. voxels,Nb of surf. voxels,IntDen,Mean,StdDev,Median,Min,Max,X,Y,Z,Mean dist. to surf. (micron),SD dist. to surf. (micron),Median dist. to surf. (micron),XM,YM,ZM,BX,BY,BZ,B-width,B-height,B-depth
14.799,50.353,522,266,11,0.021,0.144,0.000,0,1,885.615,74.766,7.287,1.470,0.319,1.415,883.545,72.909,10.273,880,69,3,11,17,9
205.934,343.675,7264,2180,1636,0.225,0.570,0.000,0,9,772.290,94.462,9.884,3.786,1.129,3.671,766.497,87.265,11.074,748,78,3,48,35,14
78.558,198.264,2771,1176,0,0.000,0.000,0.000,0,0,711.967,126.746,8.362,2.495,0.669,2.533,NaN,NaN,NaN,695,112,3,32,28,11
218.125,413.225,7694,2480,3363,0.437,1.341,0.000,0,21,822.593,127.759,10.571,3.775,1.242,3.818,823.259,124.528,13.452,802,107,3,42,44,16
182.432,345.364,6435,2322,287,0.045,0.249,0.000,0,3,744.333,168.022,9.925,3.386,1.031,3.175,744.223,171.132,10.787,727,147,3,36,44,13
4.309,21.890,152,91,0,0.000,0.000,0.000,0,0,938.855,165.112,6.250,1.033,0.327,0.974,NaN,NaN,NaN,936,162,3,7,8,7
1.389,9.835,49,39,0,0.000,0.000,0.000,0,0,1104.449,302.429,4.898,0.696,0.272,0.637,NaN,NaN,NaN,1103,301,3,4,4,5
5.075,24.968,179,112,31,0.173,0.394,0.000,0,2,1278.408,342.911,5.816,1.063,0.305,1.054,1278.387,345.774,6.065,1276,339,3,6,10,6
21.234,61.857,749,355,31,0.041,0.199,0.000,0,1,1475.511,852.527,7.027,1.669,0.331,1.692,1479.000,850.000,8.000,1470,844,3,12,16,9
3712.546,6086.836,130954,34337,40584,0.310,0.902,0.000,0,32,578.892,73.268,24.600,13.556,5.207,13.694,588.229,77.943,20.413,491,0,4,175,185,49
11.198,43.695,395,227,0,0.000,0.000,0.000,0,0,941.884,50.947,7.696,1.327,0.350,1.340,NaN,NaN,NaN,936,44,4,13,14,7
418.049,1051.198,14746,5456,4488,0.304,1.274,0.000,0,29,735.475,35.337,18.875,7.372,3.002,6.951,739.444,44.217,15.749,690,7,4,83,63,43
4.649,22.898,164,98,13,0.079,0.293,0.000,0,2,881.976,59.811,7.366,1.102,0.384,1.026,879.538,60.308,8.385,879,57,4,7,7,7
7.428,31.779,262,148,0,0.000,0.000,0.000,0,0,864.244,74.000,7.569,1.200,0.286,1.190,NaN,NaN,NaN,859,70,4,10,9,7
5.755,30.719,203,147,0,0.000,0.000,0.000,0,0,1056.384,138.857,6.182,1.179,0.377,1.209,NaN,NaN,NaN,1051,136,4,15,9,5
34.956,138.954,1233,705,8,0.006,0.080,0.000,0,1,673.637,159.801,7.829,2.273,0.783,2.326,678.125,171.875,8.000,660,146,4,28,29,8
3.033,16.798,107,78,0,0.000,0.000,0.000,0,0,969.477,158.692,5.607,0.850,0.191,0.889,NaN,NaN,NaN,966,156,4,8,7,4
1.531,11.097,54,41,0,0.000,0.000,0.000,0,0,1041.537,169.759,5.444,0.692,0.189,0.672,NaN,NaN,NaN,1039,168,4,6,5,4
2.155,13.367,76,57,0,0.000,0.000,0.000,0,0,983.289,174.684,5.842,0.763,0.229,0.721,NaN,NaN,NaN,980,172,4,6,6,5
0.680,6.203,24,20,0,0.000,0.000,0.000,0,0,1048.000,173.625,5.625,0.539,0.209,0.439,NaN,NaN,NaN,1047,172,4,3,4,4
0.709,6.255,25,23,0,0.000,0.000,0.000,0,0,1052.200,180.600,5.040,0.495,0.153,0.574,NaN,NaN,NaN,1051,178,4,3,5,3
0.482,4.541,17,17,0,0.000,0.000,0.000,0,0,1029.353,190.235,4.588,0.388,0.075,0.386,NaN,NaN,NaN,1028,189,4,4,3,2
0.340,3.884,12,12,0,0.000,0.000,0.000,0,0,1281.500,335.000,5.000,0.395,0.205,0.411,NaN,NaN,NaN,1281,334,4,2,3,3
45.757,123.134,1614,631,242,0.150,0.540,0.000,0,6,1466.015,821.578,11.349,2.762,0.977,2.776,1463.331,825.380,13.178,1453,815,4,23,16,16
158.902,420.162,5605,2507,74,0.013,0.137,0.000,0,3,869.419,137.020,11.336,4.217,1.726,4.053,865.608,137.459,14.189,839,114,5,57,48,14
2.722,18.968,96,77,0,0.000,0.000,0.000,0,0,1072.094,144.990,6.344,0.887,0.251,0.903,NaN,NaN,NaN,1067,142,5,11,8,4
5.046,22.851,178,102,0,0.000,0.000,0.000,0,0,698.096,149.545,7.663,1.068,0.281,1.029,NaN,NaN,NaN,695,147,5,8,7,6
0.340,3.985,12,11,0,0.000,0.000,0.000,0,0,960.417,148.917,5.917,0.395,0.177,0.323,NaN,NaN,NaN,959,148,5,3,3,3
0.255,3.026,9,9,0,0.000,0.000,0.000,0,0,977.111,161.333,5.556,0.338,0.044,0.346,NaN,NaN,NaN,976,161,5,3,2,2
0.539,4.943,19,18,0,0.000,0.000,0.000,0,0,980.211,165.000,5.895,0.451,0.167,0.517,NaN,NaN,NaN,979,164,5,3,3,3
1.361,10.087,48,36,0,0.000,0.000,0.000,0,0,938.667,178.417,7.104,0.695,0.263,0.642,NaN,NaN,NaN,937,177,5,5,4,5
2.268,14.375,80,57,0,0.000,0.000,0.000,0,0,946.037,182.587,7.125,0.803,0.245,0.744,NaN,NaN,NaN,944,180,5,6,6,5
0.113,1.665,4,4,0,0.000,0.000,0.000,0,0,1219.750,260.250,5.000,0.196,0.089,0.208,NaN,NaN,NaN,1219,259,5,2,3,1
0.085,1.463,3,3,0,0.000,0.000,0.000,0,0,1085.333,312.000,5.333,0.274,0.095,0.239,NaN,NaN,NaN,1085,312,5,2,1,2
3.714,18.864,131,83,0,0.000,0.000,0.000,0,0,1301.374,349.740,7.855,0.987,0.298,0.896,NaN,NaN,NaN,1299,347,5,6,7,6
1.644,10.541,58,47,0,0.000,0.000,0.000,0,0,1282.345,356.586,6.534,0.713,0.205,0.835,NaN,NaN,NaN,1280,355,5,5,5,4
55.254,180.204,1949,1042,67,0.034,0.188,0.000,0,2,1273.188,391.830,9.689,2.664,1.004,2.672,1269.672,391.254,10.045,1251,383,5,42,21,10
7.087,29.759,250,134,0,0.000,0.000,0.000,0,0,934.924,694.452,8.696,1.257,0.393,1.157,NaN,NaN,NaN,931,691,5,8,8,8
7.399,34.148,261,145,0,0.000,0.000,0.000,0,0,725.318,714.598,9.360,1.330,0.500,1.226,NaN,NaN,NaN,720,711,5,11,8,9
68.465,148.451,2415,751,318,0.132,0.464,0.000,0,4,1351.036,830.937,13.709,2.851,0.928,2.732,1349.827,826.393,13.777,1343,819,5,17,22,18
100.246,252.434,3536,1446,768,0.217,0.505,0.000,0,4,687.645,38.534,13.481,3.445,1.281,3.324,676.405,43.306,13.230,664,29,6,51,22,14
2.155,13.066,76,54,34,0.447,0.737,0.000,0,3,955.197,55.158,7.724,0.751,0.181,0.746,956.235,54.176,7.824,952,53,6,7,5,5
0.765,6.557,27,23,0,0.000,0.000,0.000,0,0,875.482,55.259,7.444,0.550,0.209,0.454,NaN,NaN,NaN,874,54,6,4,3,4
1.899,15.637,67,58,0,0.000,0.000,0.000,0,0,849.836,77.030,7.701,0.817,0.338,0.800,NaN,NaN,NaN,844,74,6,10,9,4
4.111,21.593,145,99,0,0.000,0.000,0.000,0,0,686.310,169.159,8.000,0.955,0.245,0.982,NaN,NaN,NaN,682,165,6,10,9,5
1.219,8.728,43,38,0,0.000,0.000,0.000,0,0,1189.884,176.000,7.000,0.582,0.139,0.609,NaN,NaN,NaN,1187,174,6,7,5,3
1.162,8.123,41,35,0,0.000,0.000,0.000,0,0,642.000,199.390,6.976,0.574,0.116,0.597,NaN,NaN,NaN,640,198,6,5,4,3
613.664,1170.279,21646,6567,5352,0.247,0.614,0.000,0,7,1134.367,364.085,23.525,6.988,2.487,7.046,1137.664,370.248,28.016,1086,339,6,96,55,35
0.567,5.195,20,18,0,0.000,0.000,0.000,0,0,1285.500,347.150,7.150,0.475,0.152,0.508,NaN,NaN,NaN,1284,346,6,4,3,3
1.134,8.474,40,33,0,0.000,0.000,0.000,0,0,1292.925,353.225,7.525,0.657,0.222,0.554,NaN,NaN,NaN,1291,352,6,5,4,4
41.193,122.050,1453,669,667,0.459,0.965,0.000,0,7,1422.930,777.637,10.303,2.155,0.729,2.202,1422.988,778.792,9.364,1409,769,6,29,17,10
125.874,221.141,4440,1445,222,0.050,0.294,0.000,0,7,570.158,22.337,12.833,2.905,0.608,2.984,575.662,21.604,13.293,559,5,7,24,34,12
121.508,201.302,4286,1300,269,0.063,0.266,0.000,0,3,476.582,30.265,12.094,2.881,0.387,2.950,473.502,28.100,11.755,461,18,7,30,26,11
231.506,330.987,8166,2439,460,0.056,0.270,0.000,0,4,433.967,34.286,12.974,3.533,0.736,3.659,429.654,40.576,14.950,413,17,7,41,36,12
12.559,45.463,443,255,56,0.126,0.339,0.000,0,2,927.388,33.043,9.041,1.405,0.355,1.344,926.946,36.000,8.946,924,26,7,10,18,6
1.984,12.712,70,50,0,0.000,0.000,0.000,0,0,939.271,35.843,8.886,0.733,0.199,0.696,NaN,NaN,NaN,937,33,7,5,7,5
130.410,221.616,4600,1491,425,0.092,0.373,0.000,0,4,507.438,46.677,12.376,2.952,0.550,2.985,504.461,41.774,13.518,493,32,7,28,33,11
5.613,29.669,198,145,0,0.000,0.000,0.000,0,0,979.975,54.672,9.015,0.980,0.299,1.020,NaN,NaN,NaN,975,50,7,11,10,5
1.219,8.879,43,34,0,0.000,0.000,0.000,0,0,962.767,53.930,8.233,0.610,0.175,0.561,NaN,NaN,NaN,961,52,7,4,5,4
0.340,3.632,12,12,0,0.000,0.000,0.000,0,0,846.167,69.500,7.833,0.392,0.185,0.391,NaN,NaN,NaN,845,69,7,3,2,3
0.510,4.388,18,18,0,0.000,0.000,0.000,0,0,836.500,74.000,8.000,0.468,0.196,0.571,NaN,NaN,NaN,836,73,7,2,3,3
1.219,8.827,43,34,0,0.000,0.000,0.000,0,0,846.326,95.419,8.465,0.654,0.207,0.555,NaN,NaN,NaN,844,94,7,5,4,4
11.652,57.463,411,268,75,0.182,0.440,0.000,0,2,623.657,185.825,10.893,1.530,0.515,1.524,622.027,182.187,11.427,614,179,7,19,15,8
0.198,2.221,7,7,89,12.714,13.500,8.000,1,33,1205.000,191.000,7.000,0.219,0.106,0.225,1204.595,191.685,7.000,1204,190,7,3,3,1
1.758,12.208,62,52,27,0.435,0.500,0.000,0,1,732.774,610.726,8.403,0.687,0.199,0.705,733.259,610.074,8.074,729,608,7,7,6,4
21.546,60.291,760,325,4,0.005,0.072,0.000,0,1,911.541,788.943,10.614,1.702,0.282,1.700,906.500,790.000,11.000,905,782,7,14,15,8
20.497,64.883,723,349,9242,12.783,11.190,8.000,1,46,1406.589,822.090,12.196,1.646,0.351,1.567,1405.524,822.326,11.779,1400,815,7,14,17,10
13.551,47.662,478,262,341,0.713,1.404,0.000,0,8,513.734,1.818,12.548,1.605,0.494,1.609,514.182,3.293,13.463,506,0,8,16,6,9
67.019,208.261,2364,1149,142,0.060,0.276,0.000,0,3,391.625,13.080,13.378,2.644,0.864,2.750,391.683,20.324,13.254,377,0,8,31,27,10
120.346,204.547,4245,1341,319,0.075,0.296,0.000,0,3,537.878,18.658,12.441,2.860,0.407,2.911,538.962,18.931,13.768,525,3,8,27,31,11
0.482,5.497,17,15,0,0.000,0.000,0.000,0,0,949.765,36.353,9.294,0.492,0.214,0.441,NaN,NaN,NaN,949,35,8,3,4,4
0.028,0.605,1,1,0,0.000,0.000,0.000,0,0,932.000,43.000,8.000,0.000,0.000,0.000,NaN,NaN,NaN,932,43,8,1,1,1
63.107,198.886,2226,1205,28,0.013,0.111,0.000,0,1,978.657,25.342,13.572,3.328,1.426,3.190,974.714,15.357,14.107,960,8,8,35,46,10
120.884,191.116,4264,1260,177,0.042,0.201,0.000,0,2,543.023,57.216,13.367,2.922,0.362,2.901,544.712,59.085,15.356,531,43,8,24,31,11
0.057,0.959,2,2,0,0.000,0.000,0.000,0,0,1187.500,169.000,8.000,0.112,0.000,0.112,NaN,NaN,NaN,1187,169,8,2,1,1
1.984,12.260,70,51,7,0.100,0.302,0.000,0,1,631.686,194.029,9.443,0.732,0.180,0.728,631.000,195.857,10.571,629,191,8,6,7,4
0.057,0.959,2,2,0,0.000,0.000,0.000,0,0,1287.500,360.000,8.000,0.112,0.000,0.112,NaN,NaN,NaN,1287,360,8,2,1,1
0.397,3.935,14,14,124,8.857,2.931,8.000,6,15,725.714,610.786,8.357,0.360,0.072,0.372,725.621,610.629,8.419,724,610,8,4,3,2
4.167,20.630,147,94,3,0.020,0.142,0.000,0,1,711.673,617.102,10.422,1.014,0.310,0.957,710.333,615.000,10.333,707,615,8,9,5,6
2.580,14.326,91,64,1,0.011,0.105,0.000,0,1,670.253,682.407,10.044,0.822,0.244,0.764,672.000,682.000,9.000,667,680,8,7,5,5
13.665,44.102,482,253,4181,8.674,18.532,0.000,0,117,1391.234,782.635,10.515,1.372,0.252,1.345,1390.925,779.422,10.127,1384,777,8,14,12,7
212.086,492.295,7481,2821,544,0.073,0.365,0.000,0,8,1488.757,837.816,20.108,4.277,1.307,4.314,1486.743,840.189,22.994,1465,815,8,43,44,24
1.588,10.894,56,41,0,0.000,0.000,0.000,0,0,940.786,20.518,10.929,0.721,0.264,0.669,NaN,NaN,NaN,939,19,9,5,4,5
2.296,14.022,81,61,0,0.000,0.000,0.000,0,0,964.778,35.716,11.272,0.837,0.270,0.816,NaN,NaN,NaN,962,34,9,7,5,5
1.956,12.611,69,52,1,0.014,0.120,0.000,0,1,1095.203,98.087,10.812,0.716,0.179,0.703,1097.000,99.000,12.000,1093,96,9,6,5,5
47.344,166.339,1670,987,20,0.012,0.109,0.000,0,1,1128.326,99.583,13.946,2.742,1.097,2.743,1134.000,99.800,14.500,1108,82,9,36,31,11
0.057,0.959,2,2,0,0.000,0.000,0.000,0,0,708.000,108.500,9.000,0.112,0.000,0.112,NaN,NaN,NaN,708,108,9,1,2,1
186.033,351.569,6562,1924,945,0.144,0.509,0.000,0,6,887.451,192.080,16.068,4.196,1.457,3.967,895.784,199.723,18.553,864,170,9,49,46,16
44.084,138.668,1555,804,22,0.014,0.118,0.000,0,1,1312.742,219.192,13.494,2.493,0.990,2.247,1322.364,222.000,15.227,1293,211,9,40,19,9
2.240,13.518,79,57,0,0.000,0.000,0.000,0,0,694.038,726.038,11.215,0.799,0.247,0.756,NaN,NaN,NaN,692,724,9,6,5,5
5.585,35.318,197,159,31,0.157,0.474,0.000,0,2,1241.107,769.518,11.010,1.312,0.570,1.232,1242.935,769.613,12.323,1234,763,9,16,16,5
2.977,16.697,105,75,31,0.295,0.479,0.000,0,2,1301.800,840.962,10.971,0.838,0.218,0.774,1301.065,841.194,11.645,1299,838,9,6,7,5
246.532,508.249,8696,2725,5818,0.669,3.099,0.000,0,52,1461.036,888.642,23.797,6.025,2.260,5.738,1459.768,890.803,19.418,1437,861,9,53,48,34
334.190,573.128,11788,3112,3324511,282.025,490.162,7.000,0,2400,163.203,6.135,30.724,7.343,3.676,7.073,156.305,6.633,43.664,140,0,10,45,17,50
5.897,25.225,208,122,0,0.000,0.000,0.000,0,0,1095.260,87.812,12.250,1.077,0.222,1.034,NaN,NaN,NaN,1092,84,10,8,9,6
70.365,142.504,2482,727,1046648,421.695,423.567,274.000,1,1755,42.201,92.039,16.862,2.814,0.761,2.746,42.577,94.406,14.566,32,82,10,21,19,15
243.980,561.008,8606,3977,545,0.063,0.418,0.000,0,10,1280.389,167.759,16.788,4.449,1.612,4.410,1270.268,167.152,16.589,1250,143,10,62,49,14
5.018,27.497,177,122,71,0.401,0.685,0.000,0,3,1313.955,233.678,12.514,1.066,0.304,1.039,1314.465,235.704,12.648,1310,228,10,10,11,5
8.760,35.120,309,171,10,0.032,0.177,0.000,0,1,1325.719,242.777,12.809,1.209,0.254,1.236,1328.200,247.000,11.600,1321,237,10,10,14,6
4.366,22.802,154,103,1,0.006,0.081,0.000,0,1,1318.714,250.493,11.890,1.010,0.282,0.983,1320.000,248.000,11.000,1312,247,10,11,8,5
11.623,39.618,410,249,1,0.002,0.049,0.000,0,1,1291.415,413.534,12.239,1.312,0.315,1.320,1297.000,416.000,14.000,1283,409,10,16,10,5
45.190,142.999,1594,717,60868,38.186,52.189,17.000,0,247,534.210,490.908,16.850,2.663,0.803,2.754,537.241,495.007,18.852,525,478,10,22,24,14
16.783,55.753,592,307,69,0.117,0.562,0.000,0,8,574.968,553.328,13.894,1.560,0.440,1.553,573.754,547.246,14.261,570,543,10,11,19,9
14.005,48.184,494,260,4,0.008,0.090,0.000,0,1,1316.146,837.180,13.634,1.486,0.357,1.482,1313.500,834.250,15.000,1311,829,10,11,16,8
0.113,1.413,4,4,0,0.000,0.000,0.000,0,0,1293.500,846.500,10.000,0.159,0.000,0.159,NaN,NaN,NaN,1293,846,10,2,2,1
0.595,6.858,21,21,0,0.000,0.000,0.000,0,0,470.619,0.095,12.571,0.596,0.249,0.587,NaN,NaN,NaN,468,0,11,6,2,4
0.283,3.530,10,10,0,0.000,0.000,0.000,0,0,939.500,13.200,12.100,0.384,0.202,0.408,NaN,NaN,NaN,939,12,11,2,3,3
120.204,206.732,4240,1404,685,0.162,0.489,0.000,0,6,469.116,77.079,15.755,2.902,0.465,2.887,466.591,78.076,16.791,453,66,11,34,26,11
