Volume (micron^3),Surface (micron^2),Nb of obj. voxels,Nb of surf. voxels,IntDen,Mean,StdDev,Median,Min,Max,X,Y,Z,Mean dist. to surf. (micron),SD dist. to surf. (micron),Median dist. to surf. (micron),XM,YM,ZM,BX,BY,BZ,B-width,B-height,B-depth
1.559,11.552,55,45,470,8.545,5.106,7.000,3,24,492.473,459.873,14.182,0.770,0.297,0.717,492.128,460.466,14.419,491,457,12,4,6,5
6.804,36.882,240,175,56,0.233,0.603,0.000,0,4,850.162,578.158,14.175,1.418,0.590,1.478,853.554,583.964,15.161,843,569,12,14,18,5
142.487,275.446,5026,1445,4125,0.821,1.815,0.000,0,22,785.355,80.737,20.756,3.685,1.024,3.767,782.151,74.145,18.676,769,63,13,35,38,16
0.255,3.128,9,9,1,0.111,0.333,0.000,0,1,1096.222,78.667,13.333,0.327,0.078,0.341,1095.000,79.000,13.000,1095,78,13,3,3,2
1.162,8.375,41,34,0,0.000,0.000,0.000,0,0,1112.610,86.927,14.024,0.578,0.105,0.602,NaN,NaN,NaN,1111,85,13,5,5,3
15.621,52.569,551,265,395,0.717,1.234,0.000,0,7,320.064,190.140,16.091,1.540,0.319,1.615,320.701,188.349,16.767,312,185,13,16,11,8
22.708,99.561,801,522,39,0.049,0.221,0.000,0,2,867.395,220.247,15.793,2.070,0.838,2.129,860.820,226.538,16.128,856,204,13,20,31,7
4.224,20.936,149,97,0,0.000,0.000,0.000,0,0,851.020,206.309,15.275,0.946,0.219,0.968,NaN,NaN,NaN,848,202,13,7,9,5
0.057,0.959,2,2,0,0.000,0.000,0.000,0,0,1307.500,230.000,13.000,0.112,0.000,0.112,NaN,NaN,NaN,1307,230,13,2,1,1
127.348,318.223,4492,2228,167,0.037,0.195,0.000,0,2,708.906,262.533,17.311,3.312,1.052,3.354,713.335,264.329,17.874,685,246,13,45,36,9
2.211,13.216,78,53,0,0.000,0.000,0.000,0,0,1374.346,269.154,14.987,0.779,0.227,0.715,NaN,NaN,NaN,1372,267,13,6,5,5
0.397,3.834,14,14,0,0.000,0.000,0.000,0,0,1387.857,292.857,13.429,0.361,0.050,0.369,NaN,NaN,NaN,1387,292,13,3,3,2
0.170,2.421,6,6,0,0.000,0.000,0.000,0,0,1486.333,378.333,14.000,0.299,0.213,0.190,NaN,NaN,NaN,1486,378,13,2,2,3
1.021,8.777,36,30,4,0.111,0.319,0.000,0,1,1488.472,384.000,13.917,0.591,0.148,0.612,1488.000,383.500,13.250,1486,382,13,6,5,3
0.113,1.715,4,4,0,0.000,0.000,0.000,0,0,1492.000,391.500,13.500,0.302,0.000,0.302,NaN,NaN,NaN,1492,391,13,1,2,2
0.113,1.816,4,4,0,0.000,0.000,0.000,0,0,1503.750,402.500,13.750,0.265,0.119,0.217,NaN,NaN,NaN,1503,402,13,2,2,2
0.170,1.868,6,6,0,0.000,0.000,0.000,0,0,1420.500,418.000,13.000,0.205,0.072,0.252,NaN,NaN,NaN,1420,417,13,2,3,1
0.964,7.416,34,28,0,0.000,0.000,0.000,0,0,1373.000,425.500,14.000,0.553,0.116,0.593,NaN,NaN,NaN,1371,424,13,5,4,3
15.933,64.093,562,354,9,0.016,0.126,0.000,0,1,1389.822,434.472,15.649,1.663,0.618,1.570,1386.778,434.556,17.556,1379,424,13,27,18,7
17.861,55.539,630,270,0,0.000,0.000,0.000,0,0,658.308,676.506,17.511,1.704,0.478,1.627,NaN,NaN,NaN,652,671,13,13,12,10
0.539,5.902,19,17,0,0.000,0.000,0.000,0,0,1351.474,854.105,14.105,0.471,0.156,0.515,NaN,NaN,NaN,1349,853,13,6,3,3
4.026,22.853,142,107,5,0.035,0.185,0.000,0,1,1361.711,857.359,14.570,0.969,0.307,1.000,1358.600,857.400,14.600,1356,854,13,11,8,5
34.020,95.369,1200,471,1742747,1452.289,1115.428,1317.000,5,3739,105.144,5.562,21.565,2.553,1.026,2.485,105.262,4.767,23.659,99,0,14,15,14,17
14.685,52.486,518,325,396,0.764,1.121,0.000,0,7,98.187,44.212,16.000,1.411,0.436,1.371,97.682,47.455,15.217,93,33,14,12,21,5
1.247,8.577,44,36,0,0.000,0.000,0.000,0,0,876.750,214.977,14.955,0.587,0.097,0.603,NaN,NaN,NaN,875,213,14,5,5,3
146.881,395.495,5181,2504,263,0.051,0.300,0.000,0,4,1357.109,201.892,19.562,3.832,1.317,3.949,1356.597,209.555,19.163,1337,180,14,50,46,13
34.077,119.509,1202,711,31,0.026,0.169,0.000,0,2,890.874,231.952,16.824,2.103,0.636,2.118,879.742,234.484,16.548,877,219,14,28,23,7
7.258,34.969,256,185,74,0.289,0.693,0.000,0,4,1381.930,260.293,16.137,1.155,0.395,1.120,1379.649,258.932,15.635,1378,253,14,11,16,5
2.013,11.855,71,51,0,0.000,0.000,0.000,0,0,1385.592,274.028,15.577,0.729,0.157,0.672,NaN,NaN,NaN,1383,272,14,6,5,4
0.312,3.481,11,11,4,0.364,0.505,0.000,0,1,464.000,342.818,14.364,0.348,0.073,0.355,464.250,342.750,14.500,463,342,14,3,3,2
126.157,310.297,4450,1839,453,0.102,0.405,0.000,0,5,1331.320,440.865,21.197,3.721,1.450,3.680,1325.424,438.876,20.466,1306,428,14,56,27,15
4.366,21.940,154,96,34,0.221,0.539,0.000,0,3,880.922,630.383,17.195,1.035,0.311,1.018,882.882,630.147,18.235,877,628,14,8,6,7
0.340,3.481,12,12,0,0.000,0.000,0.000,0,0,781.667,670.000,14.417,0.356,0.058,0.357,NaN,NaN,NaN,781,669,14,3,3,2
641.929,1223.578,22643,6546,13549,0.598,2.727,0.000,0,86,1452.595,767.113,29.392,5.897,1.848,6.008,1464.741,774.513,28.407,1423,738,14,67,55,34
39.066,125.607,1378,644,89,0.065,0.359,0.000,0,5,1492.410,881.999,23.208,3.166,1.423,3.248,1499.247,874.202,16.157,1482,868,14,22,24,18
0.879,7.668,31,29,0,0.000,0.000,0.000,0,0,1169.194,946.677,15.194,0.525,0.170,0.528,NaN,NaN,NaN,1167,945,14,5,4,3
11.085,44.397,391,247,551,1.409,1.038,1.000,0,5,91.826,6.545,17.028,1.443,0.469,1.458,92.089,7.926,17.270,87,0,15,9,18,6
1.304,10.539,46,45,6,0.130,0.341,0.000,0,1,606.435,0.435,16.761,0.727,0.304,0.712,606.833,0.833,15.500,604,0,15,6,3,5
2.353,16.389,83,72,71,0.855,0.798,1.000,0,3,649.819,0.651,17.410,0.880,0.333,0.898,650.282,0.465,17.859,646,0,15,9,3,6
1086.967,1617.458,38341,9939,4380,0.114,0.491,0.000,0,12,360.746,36.816,30.764,9.260,3.573,9.390,375.098,47.931,28.785,300,0,15,127,82,38
167.463,416.499,5907,2358,1854805,314.001,734.490,10.000,0,3517,13.330,82.468,26.642,4.370,1.648,4.197,12.360,99.101,19.917,0,65,15,39,44,22
5.698,23.663,201,126,36920,183.682,149.650,142.000,4,552,302.846,135.507,17.303,1.036,0.203,1.011,302.620,137.078,17.086,300,131,15,8,9,6
2.240,13.268,79,60,9378,118.709,49.164,112.000,34,213,309.481,142.392,16.823,0.737,0.159,0.734,309.225,142.670,16.668,307,140,15,6,6,4
1.701,10.343,60,49,204,3.400,5.840,1.000,0,29,1396.333,260.633,17.033,0.640,0.125,0.652,1397.564,261.392,17.480,1394,258,15,5,6,4
0.085,1.312,3,3,0,0.000,0.000,0.000,0,0,1508.667,380.333,15.000,0.147,0.036,0.168,NaN,NaN,NaN,1508,380,15,2,2,1
2.665,14.130,94,77,0,0.000,0.000,0.000,0,0,1495.479,433.766,16.128,0.745,0.178,0.750,NaN,NaN,NaN,1492,431,15,9,7,3
4.366,22.705,154,108,0,0.000,0.000,0.000,0,0,1488.006,441.370,17.208,0.960,0.293,0.959,NaN,NaN,NaN,1483,438,15,10,9,5
0.822,7.414,29,27,0,0.000,0.000,0.000,0,0,736.276,621.345,16.069,0.553,0.168,0.600,NaN,NaN,NaN,734,620,15,5,4,3
15.082,54.137,532,281,297,0.558,2.064,0.000,0,26,1423.006,817.233,18.353,1.463,0.280,1.482,1420.424,818.576,18.781,1417,812,15,15,14,7
59.677,158.439,2105,799,657,0.312,0.680,0.000,0,6,1331.409,855.252,24.343,2.961,1.261,2.821,1333.046,853.356,28.038,1320,848,15,21,15,20
71.612,168.445,2526,878,376,0.149,0.870,0.000,0,24,1458.002,865.105,23.857,3.261,1.267,3.291,1462.431,863.003,22.785,1447,854,15,21,21,20
0.737,5.348,26,26,0,0.000,0.000,0.000,0,0,1123.385,79.385,16.500,0.419,0.070,0.441,NaN,NaN,NaN,1122,78,16,4,4,2
0.085,1.312,3,3,0,0.000,0.000,0.000,0,0,856.333,213.667,16.000,0.147,0.036,0.168,NaN,NaN,NaN,856,213,16,2,2,1
1.474,10.798,52,49,0,0.000,0.000,0.000,0,0,1395.462,254.692,17.519,0.632,0.227,0.635,NaN,NaN,NaN,1392,253,16,9,4,4
16.698,57.233,589,351,2,0.003,0.058,0.000,0,1,1414.256,270.170,17.874,1.494,0.363,1.473,1418.500,277.500,16.500,1406,262,16,17,19,5
53.411,175.422,1884,1030,271,0.144,0.566,0.000,0,5,1469.248,284.199,19.614,2.422,0.904,2.341,1467.845,283.694,19.926,1455,269,16,35,30,8
22.056,86.578,778,451,1413,1.816,4.011,0.000,0,48,1005.019,316.235,19.157,2.154,0.677,2.078,1011.749,318.498,19.766,995,301,16,22,25,7
201.455,433.209,7106,2275,1728,0.243,0.667,0.000,0,7,1247.766,421.369,30.184,4.443,1.566,4.614,1250.885,422.648,30.598,1223,410,16,51,26,26
0.907,6.710,32,28,0,0.000,0.000,0.000,0,0,1507.688,438.531,17.250,0.517,0.125,0.500,NaN,NaN,NaN,1506,437,16,4,4,3
0.850,6.356,30,27,0,0.000,0.000,0.000,0,0,1474.100,442.533,17.033,0.522,0.143,0.589,NaN,NaN,NaN,1473,441,16,4,4,3
14.742,49.075,520,246,356,0.685,1.692,0.000,0,14,458.387,512.396,20.362,1.631,0.493,1.595,457.497,509.941,21.888,453,509,16,13,8,9
0.028,0.605,1,1,0,0.000,0.000,0.000,0,0,836.000,576.000,16.000,0.000,0.000,0.000,NaN,NaN,NaN,836,576,16,1,1,1
5.188,22.151,183,117,21300,116.393,20.091,120.000,71,158,41.699,829.557,17.842,0.963,0.145,0.944,41.828,829.561,17.821,38,826,16,8,9,5
123.975,324.574,4373,1706,1668955,381.650,798.959,9.000,0,3560,118.977,79.596,33.011,5.462,2.578,5.128,116.412,78.308,46.313,106,71,17,29,22,37
14.175,49.430,500,233,106879,213.758,141.929,178.500,16,617,275.870,218.812,21.090,1.636,0.506,1.540,276.080,219.298,21.772,271,214,17,11,11,10
8.363,33.151,295,184,0,0.000,0.000,0.000,0,0,1387.647,222.532,19.732,1.214,0.292,1.224,NaN,NaN,NaN,1379,219,17,17,8,6
0.057,0.959,2,2,0,0.000,0.000,0.000,0,0,734.500,263.000,17.000,0.112,0.000,0.112,NaN,NaN,NaN,734,263,17,2,1,1
7.002,35.174,247,187,0,0.000,0.000,0.000,0,0,1484.660,450.219,19.393,1.359,0.509,1.378,NaN,NaN,NaN,1477,444,17,17,13,6
0.936,7.265,33,28,0,0.000,0.000,0.000,0,0,719.818,569.030,17.879,0.528,0.116,0.533,NaN,NaN,NaN,718,567,17,5,5,3
3.544,17.910,125,84,1,0.008,0.089,0.000,0,1,721.952,604.456,18.984,0.914,0.244,0.828,718.000,605.000,18.000,717,602,17,9,6,5
39.378,95.137,1389,516,989,0.712,1.335,0.000,0,17,1065.600,680.206,22.343,2.326,0.653,2.324,1063.006,679.677,22.081,1057,674,17,16,17,12
3.317,16.297,117,79,35074,299.778,50.613,304.000,195,390,117.863,913.786,18.496,0.841,0.123,0.861,118.042,913.919,18.539,115,911,17,7,7,4
0.198,2.473,7,7,9,1.286,0.488,1.000,1,2,1156.286,947.286,17.000,0.255,0.125,0.227,1156.000,947.111,17.000,1155,946,17,4,3,1
536.665,787.703,18930,5011,3226,0.170,0.590,0.000,0,15,456.154,90.267,30.862,5.984,2.249,5.765,453.952,88.203,33.955,420,68,18,67,45,30
16.500,54.722,582,264,43,0.074,0.262,0.000,0,1,287.790,230.854,23.349,1.818,0.677,1.679,287.837,233.744,20.302,283,226,18,10,12,12
15.507,53.361,547,250,0,0.000,0.000,0.000,0,0,298.408,241.934,22.289,1.694,0.531,1.659,NaN,NaN,NaN,294,237,18,11,11,10
15.281,46.973,539,249,300419,557.364,215.702,557.000,135,1042,216.980,263.150,20.898,1.500,0.262,1.462,217.516,263.048,20.570,211,258,18,14,11,7
3.771,19.123,133,93,34,0.256,0.438,0.000,0,1,1495.797,298.977,19.699,0.873,0.173,0.872,1494.177,298.441,19.265,1491,296,18,10,7,4
0.113,1.665,4,4,0,0.000,0.000,0.000,0,0,1349.000,439.250,18.000,0.172,0.083,0.200,NaN,NaN,NaN,1348,439,18,3,2,1
1.616,10.442,57,45,0,0.000,0.000,0.000,0,0,1510.842,450.105,19.789,0.674,0.173,0.681,NaN,NaN,NaN,1508,448,18,6,5,4
6.804,28.451,240,140,1,0.004,0.065,0.000,0,1,588.804,561.621,20.775,1.228,0.387,1.154,585.000,563.000,21.000,585,558,18,9,8,7
13.750,45.162,485,258,158,0.326,0.527,0.000,0,2,1258.140,827.188,20.738,1.376,0.230,1.383,1259.892,829.481,20.513,1252,821,18,14,13,6
112.691,271.530,3975,1378,519,0.131,0.561,0.000,0,7,1429.730,905.578,28.600,3.570,1.314,3.528,1432.907,911.898,29.291,1415,890,18,30,32,22
1.219,7.972,43,36,19873,462.163,48.366,457.000,367,540,192.302,1032.372,18.814,0.569,0.110,0.557,192.356,1032.356,18.871,190,1030,18,5,5,3
47.174,97.673,1664,543,76,0.046,0.246,0.000,0,3,689.407,78.021,23.927,2.288,0.436,2.256,691.316,79.592,27.711,681,71,19,18,16,11
0.425,4.039,15,15,249,16.600,5.289,16.000,9,25,335.667,145.933,19.000,0.357,0.154,0.366,335.317,146.157,19.000,334,144,19,5,5,1
315.139,578.907,11116,3060,5481,0.493,1.627,0.000,0,21,865.239,163.202,31.010,4.703,1.741,4.870,861.895,161.101,30.200,844,134,19,50,57,22
158.165,303.697,5579,1594,1198,0.215,0.508,0.000,0,4,957.250,254.331,27.868,3.957,1.250,3.900,951.761,250.142,26.988,938,237,19,43,35,18
2.608,14.780,92,62,1,0.011,0.104,0.000,0,1,1499.380,284.576,21.207,0.815,0.198,0.763,1502.000,286.000,21.000,1497,282,19,6,6,5
117.738,354.673,4153,2254,998,0.240,0.720,0.000,0,8,1541.407,292.683,23.183,3.452,1.297,3.529,1540.540,291.015,23.511,1517,273,19,52,39,9
13.920,59.445,491,335,14,0.029,0.167,0.000,0,1,1113.640,400.446,21.055,1.499,0.530,1.509,1115.571,405.857,21.714,1102,396,19,23,12,6
1.729,10.694,61,48,2,0.033,0.180,0.000,0,1,640.229,435.475,20.574,0.704,0.195,0.698,642.000,434.500,22.000,638,434,19,6,4,4
1.219,10.040,43,37,0,0.000,0.000,0.000,0,0,647.093,586.372,20.907,0.658,0.225,0.628,NaN,NaN,NaN,645,583,19,5,7,5
22.680,62.302,800,327,150,0.188,0.495,0.000,0,4,1039.621,668.895,23.647,1.763,0.353,1.724,1036.220,669.600,23.447,1034,663,19,14,13,10
8.023,32.690,283,160,1099,3.883,2.168,3.000,1,12,95.060,111.671,23.057,1.240,0.309,1.238,95.277,111.810,22.525,92,106,20,8,12,7
0.936,6.912,33,31,0,0.000,0.000,0.000,0,0,573.515,219.061,20.606,0.478,0.120,0.471,NaN,NaN,NaN,572,217,20,4,5,3
4.876,27.947,172,118,0,0.000,0.000,0.000,0,0,1468.547,262.140,21.924,1.084,0.321,1.130,NaN,NaN,NaN,1464,256,20,9,13,5
4.593,21.744,162,101,14,0.086,0.282,0.000,0,1,1481.438,269.389,21.932,0.987,0.215,1.009,1483.714,270.286,22.071,1477,266,20,10,7,5
152.183,421.388,5368,2911,297,0.055,0.267,0.000,0,3,734.975,323.730,25.135,3.719,1.391,3.763,742.417,329.212,25.865,706,302,20,54,44,10
0.028,0.605,1,1,0,0.000,0.000,0.000,0,0,624.000,446.000,20.000,0.000,0.000,0.000,NaN,NaN,NaN,624,446,20,1,1,1
299.801,501.134,10575,3758,1786,0.169,0.528,0.000,0,7,1139.959,34.873,28.478,4.404,1.588,4.431,1138.311,33.215,29.402,1107,10,21,60,51,15
8.817,34.657,311,165,73,0.235,0.727,0.000,0,4,159.466,189.019,23.926,1.305,0.339,1.232,163.384,187.260,25.178,155,185,21,10,10,7
0.794,6.608,28,25,2,0.071,0.262,0.000,0,1,476.714,310.500,21.714,0.504,0.140,0.472,476.500,309.000,22.000,475,309,21,4,4,3
0.822,6.356,29,26,0,0.000,0.000,0.000,0,0,1345.655,802.586,21.690,0.498,0.133,0.486,NaN,NaN,NaN,1344,801,21,4,4,3
67.218,140.272,2371,756,186,0.078,0.327,0.000,0,4,1409.532,914.196,31.379,3.081,1.185,2.900,1409.624,909.280,32.290,1401,904,21,17,20,19
26.791,74.063,945,397,50590,53.534,44.650,40.000,8,284,215.848,1048.485,25.676,1.937,0.489,1.917,214.945,1050.206,24.354,209,1042,21,17,16,10
1.134,8.375,40,35,12446,311.150,52.012,306.500,213,410,255.625,1067.200,22.325,0.569,0.160,0.534,255.535,1067.353,22.325,254,1065,21,4,5,4
8.250,32.735,291,160,103508,355.698,181.001,331.000,66,801,196.718,3.216,25.330,1.304,0.358,1.279,197.262,3.730,24.802,193,0,22,9,8,8
178.548,530.162,6298,3253,501,0.080,0.327,0.000,0,4,1244.541,98.803,28.416,4.996,2.094,4.809,1247.060,95.922,29.844,1209,76,22,73,50,15
0.057,0.959,2,2,0,0.000,0.000,0.000,0,0,1293.500,136.000,22.000,0.112,0.000,0.112,NaN,NaN,NaN,1293,136,22,2,1,1
2.750,14.531,97,68,0,0.000,0.000,0.000,0,0,1365.041,183.175,24.289,0.797,0.165,0.779,NaN,NaN,NaN,1362,181,22,7,6,5
199.527,318.049,7038,2026,1250,0.178,0.475,0.000,0,6,1587.231,287.693,29.038,3.615,0.730,3.664,1589.737,288.871,30.828,1570,268,22,30,44,16
194.112,284.171,6847,2007,1000,0.146,0.428,0.000,0,3,644.595,310.075,28.597,3.782,1.072,3.614,644.802,304.598,27.673,631,284,22,30,50,13
384.284,559.919,13555,4525,3313,0.244,0.684,0.000,0,8,877.565,330.497,27.487,5.090,2.017,4.871,879.829,329.471,27.346,849,297,22,61,70,12
1.673,11.248,59,47,0,0.000,0.000,0.000,0,0,554.593,534.000,23.610,0.733,0.265,0.669,NaN,NaN,NaN,553,532,22,4,6,5
0.369,3.481,13,13,0,0.000,0.000,0.000,0,0,738.000,658.385,22.462,0.357,0.043,0.370,NaN,NaN,NaN,737,657,22,3,3,2
0.113,1.816,4,4,0,0.000,0.000,0.000,0,0,1345.250,796.500,22.750,0.265,0.119,0.217,NaN,NaN,NaN,1345,796,22,2,2,2
8.136,36.322,287,179,2013,7.014,14.204,2.000,0,80,1019.721,885.861,25.544,1.315,0.501,1.221,1015.676,885.461,24.447,1013,882,22,13,9,9
80.401,172.067,2836,931,511,0.180,0.446,0.000,0,3,1390.668,920.054,31.385,3.200,1.205,3.075,1389.417,920.206,30.068,1381,907,22,18,25,19
105.689,177.962,3728,1088,18117,4.860,7.068,2.000,0,68,434.753,110.400,29.354,2.988,0.562,3.037,435.430,111.587,29.257,419,101,23,34,19,13
153.033,364.862,5398,2594,1009,0.187,0.467,0.000,0,4,954.846,301.285,29.390,3.586,1.234,3.599,955.107,300.774,30.190,934,278,23,41,47,13
30.958,90.799,1092,586,290,0.266,0.760,0.000,0,6,841.224,358.471,25.950,1.896,0.597,1.897,838.621,356.179,26.241,832,349,23,22,21,7
5.443,30.877,192,143,0,0.000,0.000,0.000,0,0,505.708,465.094,25.469,1.126,0.368,1.119,NaN,NaN,NaN,501,462,23,11,9,6
56.927,173.503,2008,1045,453,0.226,0.557,0.000,0,4,1478.366,471.181,27.650,2.712,1.028,2.731,1480.651,472.305,28.108,1457,464,23,43,16,11
121.253,327.538,4277,1769,12696,2.968,15.676,0.000,0,211,1461.674,801.964,31.150,3.853,1.298,3.789,1448.972,801.807,26.156,1442,784,23,51,35,20
2.750,17.050,97,68,2,0.021,0.143,0.000,0,1,782.567,821.866,25.722,0.861,0.251,0.838,779.000,819.500,26.000,779,818,23,8,8,6
1.361,8.429,48,48,0,0.000,0.000,0.000,0,0,1432.938,830.750,23.521,0.515,0.124,0.533,NaN,NaN,NaN,1431,828,23,5,7,2
0.397,4.237,14,13,0,0.000,0.000,0.000,0,0,1496.214,855.929,24.071,0.436,0.176,0.522,NaN,NaN,NaN,1495,855,23,3,3,3
15.451,49.241,545,291,66,0.121,0.383,0.000,0,2,659.611,3.822,27.521,1.487,0.326,1.469,664.318,2.803,26.242,654,0,24,13,12,8
14.912,56.842,526,293,281632,535.422,351.485,467.500,24,1654,2.217,56.584,29.570,1.771,0.641,1.745,2.657,56.598,30.004,0,48,24,9,16,11
0.340,3.582,12,12,3,0.250,0.452,0.000,0,1,1288.333,126.667,24.417,0.358,0.067,0.367,1288.333,127.667,24.333,1287,125,24,3,4,2
3.317,19.676,117,92,9,0.077,0.268,0.000,0,1,1303.769,132.077,25.923,0.895,0.289,0.889,1300.444,129.222,26.333,1300,127,24,9,9,5
0.765,5.902,27,25,0,0.000,0.000,0.000,0,0,805.630,325.111,25.222,0.498,0.147,0.500,NaN,NaN,NaN,804,324,24,4,3,3
2.637,13.723,93,66,3,0.032,0.178,0.000,0,1,810.742,328.763,25.430,0.792,0.152,0.826,811.000,331.000,26.000,808,326,24,6,6,4
63.306,226.448,2233,1331,206,0.092,0.383,0.000,0,5,804.985,346.883,27.224,2.962,1.123,3.033,795.655,350.563,27.995,788,329,24,44,36,8
230.627,552.515,8135,3159,2200,0.270,0.805,0.000,0,9,1544.852,477.828,37.977,6.113,2.515,6.107,1549.352,475.445,35.218,1502,450,24,83,41,28
0.057,0.959,2,2,0,0.000,0.000,0.000,0,0,909.500,651.000,24.000,0.112,0.000,0.112,NaN,NaN,NaN,909,651,24,2,1,1
29.711,82.130,1048,426,1726,1.647,3.121,1.000,0,38,1351.386,834.906,29.422,2.022,0.538,2.009,1352.051,835.331,30.794,1343,828,24,17,14,12
3.827,22.903,135,108,125,0.926,0.606,1.000,0,2,1294.074,843.407,26.333,1.044,0.429,1.016,1295.320,843.448,26.216,1287,842,24,15,5,6
105.887,276.601,3735,1469,179409,48.035,56.726,32.000,0,610,90.997,60.345,38.182,4.049,1.705,4.052,85.371,58.806,42.137,73,47,25,39,30,27
1.247,8.375,44,38,0,0.000,0.000,0.000,0,0,265.045,131.295,25.955,0.588,0.126,0.606,NaN,NaN,NaN,263,129,25,5,5,3
0.085,1.312,3,3,82,27.333,6.506,27.000,21,34,360.667,312.333,25.000,0.147,0.036,0.168,360.585,312.256,25.000,360,312,25,2,2,1
282.026,474.939,9948,3073,20926,2.104,8.128,0.000,0,140,675.126,380.991,34.515,5.032,1.939,5.062,668.265,369.308,31.262,644,356,25,57,59,19
0.028,0.605,1,1,0,0.000,0.000,0.000,0,0,621.000,542.000,25.000,0.000,0.000,0.000,NaN,NaN,NaN,621,542,25,1,1,1
17.832,53.028,629,304,448,0.712,1.337,0.000,0,8,1025.041,663.887,27.797,1.563,0.271,1.577,1028.105,663.714,27.877,1018,659,25,15,12,7
7.258,28.559,256,156,22,0.086,0.332,0.000,0,2,1263.043,792.129,27.316,1.120,0.220,1.114,1265.364,790.409,27.545,1256,789,25,13,8,5
0.028,0.605,1,1,0,0.000,0.000,0.000,0,0,1250.000,822.000,25.000,0.000,0.000,0.000,NaN,NaN,NaN,1250,822,25,1,1,1
107.560,267.508,3794,1392,365,0.096,0.379,0.000,0,5,1432.076,855.118,34.255,3.676,1.237,3.741,1434.310,855.063,33.986,1411,840,25,40,27,20
167.747,325.872,5917,2502,3284,0.555,1.764,0.000,0,30,1516.296,237.136,29.996,3.638,1.438,3.528,1513.309,232.014,30.623,1491,216,26,55,40,10
0.369,4.237,13,13,0,0.000,0.000,0.000,0,0,305.231,248.692,27.231,0.415,0.182,0.439,NaN,NaN,NaN,304,248,26,3,3,3
444.783,687.511,15689,3881,9388,0.598,1.977,0.000,0,51,568.968,279.450,40.724,5.819,2.056,5.904,565.133,277.606,38.191,553,249,26,38,61,32
2.240,12.460,79,61,27,0.342,0.658,0.000,0,3,1596.392,312.544,27.608,0.756,0.182,0.762,1596.926,311.259,28.519,1594,310,26,6,6,4
11.737,46.228,414,273,144,0.348,0.736,0.000,0,3,822.819,366.889,28.362,1.367,0.472,1.259,820.299,361.896,27.833,817,355,26,12,20,5
164.572,394.740,5805,2984,1918,0.330,0.915,0.000,0,9,776.994,396.497,30.290,3.585,1.252,3.713,776.517,387.084,28.897,755,374,26,50,46,9
2.325,15.993,82,66,0,0.000,0.000,0.000,0,0,664.329,414.695,27.463,0.847,0.286,0.879,NaN,NaN,NaN,658,412,26,12,6,4
7.144,33.498,252,164,25,0.099,0.392,0.000,0,4,893.635,774.278,28.222,1.218,0.375,1.208,896.800,775.280,29.480,884,770,26,16,10,6
17.435,51.313,615,281,30,0.049,0.216,0.000,0,1,1412.662,807.055,29.063,1.570,0.279,1.579,1411.467,805.333,29.967,1407,800,26,12,15,7
1.984,13.169,70,58,1,0.014,0.120,0.000,0,1,1278.557,857.514,27.529,0.678,0.186,0.646,1282.000,856.000,27.000,1276,855,26,7,7,4
0.227,3.177,8,8,0,0.000,0.000,0.000,0,0,684.500,0.000,28.000,0.419,0.226,0.454,NaN,NaN,NaN,683,0,27,4,1,3
0.567,5.297,20,18,3721,186.050,63.780,191.000,82,305,172.250,86.850,27.850,0.476,0.156,0.511,172.218,87.017,27.651,171,86,27,4,3,3
33.935,107.643,1197,646,443,0.370,1.137,0.000,0,11,375.013,142.525,30.704,2.069,0.708,1.888,371.445,144.926,30.406,363,129,27,20,27,7
0.028,0.605,1,1,0,0.000,0.000,0.000,0,0,327.000,181.000,27.000,0.000,0.000,0.000,NaN,NaN,NaN,327,181,27,1,1,1
1.446,11.047,51,46,58,1.137,0.664,1.000,0,3,522.745,531.863,29.098,0.822,0.370,0.774,522.810,531.552,29.121,521,529,27,4,7,5
75.354,179.079,2658,947,311,0.117,0.476,0.000,0,8,1393.445,826.675,38.450,3.410,1.453,3.311,1397.116,828.920,40.878,1384,814,27,22,24,22
0.085,1.312,3,3,3,1.000,0.000,1.000,1,1,1310.667,848.667,27.000,0.147,0.036,0.168,1310.667,848.667,27.000,1310,848,27,2,2,1
16.131,63.859,569,307,49,0.086,0.293,0.000,0,2,766.313,53.991,32.482,1.753,0.567,1.711,768.122,55.857,30.939,757,48,28,21,15,9
141.041,291.783,4975,2028,3179,0.639,1.409,0.000,0,14,330.597,90.393,34.679,3.694,1.346,3.833,327.969,92.673,33.844,312,68,28,35,45,18
6.209,28.505,219,143,844,3.854,9.611,1.000,0,78,95.790,165.895,30.406,1.144,0.352,1.087,94.128,162.836,30.347,93,160,28,6,16,6
408.212,731.761,14399,4216,4753,0.330,0.673,0.000,0,7,540.730,221.825,42.054,6.179,2.377,5.986,542.406,222.307,39.645,521,179,28,35,85,30
5.812,26.237,205,132,10,0.049,0.216,0.000,0,1,581.098,549.078,29.917,1.045,0.217,1.096,581.100,551.700,30.400,576,545,28,11,9,5
0.085,1.312,3,3,0,0.000,0.000,0.000,0,0,729.667,573.667,28.000,0.147,0.036,0.168,NaN,NaN,NaN,729,573,28,2,2,1
0.085,1.462,3,3,0,0.000,0.000,0.000,0,0,685.667,615.000,28.667,0.274,0.095,0.239,NaN,NaN,NaN,685,615,28,2,1,2
0.312,3.481,11,11,1,0.091,0.302,0.000,0,1,817.545,643.636,28.364,0.357,0.083,0.386,819.000,644.000,29.000,816,643,28,4,2,2
